City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,laguna,38.421,-121.4238,15.3,72,0,3.09,US,1708123491
1,nar'yan-mar,67.6713,53.087,-21.61,88,13,4.02,RU,1708123491
2,adamstown,-25.066,-130.1015,24.93,79,88,3.95,PN,1708123491
3,blackmans bay,-43.0167,147.3167,19.29,72,80,0.45,AU,1708123491
4,whitehorse,60.7161,-135.0538,-3.32,63,0,5.66,CA,1708123491
5,hawaiian paradise park,19.5933,-154.9731,23.83,94,100,7.72,US,1708123492
6,grytviken,-54.2811,-36.5092,3.02,87,15,4.62,GS,1708123492
7,albany,42.6001,-73.9662,-0.11,50,43,2.68,US,1708123251
8,ushuaia,-54.8,-68.3,17.81,52,0,6.17,AR,1708123281
9,waitangi,-43.9535,-176.5597,17.12,73,0,3.2,NZ,1708123492
10,camocim,-2.9022,-40.8411,26.51,83,98,4.66,BR,1708123493
11,tolanaro,-25.0319,46.9987,25.04,83,40,2.06,MG,1708123493
12,stanley,54.868,-1.6985,7.77,94,40,1.03,GB,1708123493
13,prince rupert,54.3161,-130.3201,11.05,25,0,3.6,CA,1708123493
14,kidal,18.4411,1.4078,22.51,11,3,4.33,ML,1708123493
15,buka,40.8108,69.1986,-3.25,85,100,2.18,UZ,1708123493
16,kayangel,8.0823,134.7173,27.2,82,10,8.2,PW,1708123493
17,bilibino,68.0546,166.4372,-33.29,94,73,1.35,RU,1708123494
18,hilo,19.7297,-155.09,23.95,87,100,7.72,US,1708123494
19,ribeira grande,38.5167,-28.7,18.21,87,100,10.73,PT,1708123494
20,rundu,-17.9333,19.7667,23.05,55,56,2.6,NA,1708123494
21,lensk,60.7253,114.9278,-30.18,97,100,1.59,RU,1708123494
22,ola,59.5833,151.2833,-21.59,86,100,2.52,RU,1708123494
23,hammerfest,70.6634,23.6821,-2.75,80,75,3.6,NO,1708123494
24,ketchikan,55.3422,-131.6461,12.26,22,0,3.6,US,1708123495
25,port-aux-francais,-49.35,70.2167,4.94,77,98,15.81,TF,1708123495
26,kikvidze,50.7416,43.0518,-10.79,81,100,4.01,RU,1708123495
27,dourbali,11.8091,15.8632,21.82,14,79,6.39,TD,1708123495
28,bardai,11.65,7.2333,20.18,22,47,4.64,NG,1708123495
29,kozova,49.4354,25.1509,2.32,90,22,3.68,UA,1708123495
30,zyryanskoye,56.8306,86.6258,-22.75,96,100,4.86,RU,1708123495
31,broken hill,-31.95,141.4333,27.83,20,4,6.43,AU,1708123496
32,miranda,3.2499,-76.2281,30.07,79,87,0.69,CO,1708123496
33,kununurra,-15.7667,128.7333,26.99,83,87,1.03,AU,1708123496
34,lorengau,-2.0226,147.2712,28.95,74,68,0.69,PG,1708123496
35,west island,-12.1568,96.8225,26.99,83,40,2.06,CC,1708123496
36,yellowknife,62.456,-114.3525,-8.1,90,75,6.17,CA,1708123377
37,kabompo,-13.5927,24.2008,19.99,73,89,1.82,ZM,1708123496
38,iqaluit,63.7506,-68.5145,-29.06,68,20,5.66,CA,1708123497
39,severnoye,56.3491,78.3619,-20.57,98,100,4.02,RU,1708123497
40,la'ie,21.6477,-157.9253,25.98,58,11,2.68,US,1708123497
41,olonkinbyen,70.9221,-8.7187,-6.78,77,66,5.31,SJ,1708123497
42,kerikeri,-35.2268,173.9474,25.51,69,49,2.84,NZ,1708123497
43,marco,25.9726,-81.729,24.01,70,75,3.09,US,1708123497
44,carutapera,-1.195,-46.02,25.23,94,80,2.43,BR,1708123497
45,la passe,45.5549,-0.8967,10.13,86,8,2.02,FR,1708123498
46,zhanaozen,43.3,52.8,-4.76,49,100,11.05,KZ,1708123498
47,lebu,-37.6167,-73.65,17.23,90,62,4.96,CL,1708123498
48,port alfred,-33.5906,26.891,16.21,73,13,0.89,ZA,1708123498
49,invercargill,-46.4,168.35,20.01,65,78,2.68,NZ,1708123498
50,chimbote,-9.0853,-78.5783,25.47,77,45,5.43,PE,1708123459
51,san patricio,28.017,-97.5169,18.05,94,100,3.8,US,1708123498
52,tanumah,27.1,44.1333,15.89,34,0,3.61,SA,1708123499
53,bethel,41.3712,-73.414,3.17,42,0,2.57,US,1708123499
54,hithadhoo,-0.6,73.0833,27.85,77,100,2.52,MV,1708123499
55,jianshui,23.6363,102.8264,11.37,89,2,1.73,CN,1708123499
56,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,83,20,4.0,RU,1708123499
57,gua musang,4.8823,101.9644,21.33,100,87,0.48,MY,1708123499
58,trairi,-3.2778,-39.2689,26.16,84,50,3.23,BR,1708123500
59,celestun,20.8667,-90.4,24.81,81,70,4.55,MX,1708123500
60,longyearbyen,78.2186,15.6401,-9.09,67,75,5.66,SJ,1708123500
61,klyuchi,52.2667,79.1667,-24.71,95,99,4.32,RU,1708123500
62,nizhneudinsk,54.9076,99.0276,-23.34,81,100,4.47,RU,1708123500
63,puerto natales,-51.7236,-72.4875,14.79,85,47,1.64,CL,1708123501
64,hamilton,39.1834,-84.5333,0.8,87,100,5.14,US,1708123501
65,margaret river,-33.95,115.0667,17.63,85,100,4.82,AU,1708123501
66,alice springs,-23.7,133.8833,30.68,48,60,6.17,AU,1708123501
67,sittwe,20.15,92.9,20.25,62,0,5.5,MM,1708123501
68,mogocha,53.7333,119.7667,-18.35,99,100,0.76,RU,1708123501
69,malango,-2.9627,119.9001,21.16,96,100,0.37,ID,1708123502
70,argo,37.6333,22.7333,7.66,74,58,1.32,GR,1708123502
71,freetown,8.484,-13.2299,28.84,74,20,5.14,SL,1708123502
72,parras de la fuente,25.4167,-102.1833,9.63,90,100,4.43,MX,1708123503
73,port lincoln,-34.7333,135.8667,20.55,65,48,4.59,AU,1708123503
74,berdigestyakh,62.0989,126.6992,-35.63,93,51,3.22,RU,1708123504
75,bredasdorp,-34.5322,20.0403,15.87,69,49,2.99,ZA,1708123504
76,papatowai,-46.5619,169.4708,18.46,55,95,0.85,NZ,1708123504
77,sarupathar,26.1984,93.8094,15.37,71,3,0.72,IN,1708123505
78,saipan,15.1355,145.701,26.39,89,40,4.63,MP,1708123505
79,edinburgh of the seven seas,-37.0676,-12.3116,17.86,76,58,7.69,SH,1708123505
80,punta arenas,-53.15,-70.9167,15.06,67,0,5.14,CL,1708123505
81,qaqortoq,60.7167,-46.0333,1.99,54,100,6.16,GL,1708123506
82,gerash,27.6652,54.1371,16.27,63,10,1.1,IR,1708123506
83,constitucion,-35.3333,-72.4167,17.6,70,13,6.2,CL,1708123506
84,plettenberg bay,-34.0527,23.3716,16.76,75,88,6.62,ZA,1708123506
85,lompoc,34.6391,-120.4579,19.23,64,0,4.63,US,1708123506
86,sassandra,4.95,-6.0833,27.8,85,89,4.35,CI,1708123507
87,port mathurin,-19.6833,63.4167,26.61,80,98,13.29,MU,1708123507
88,remire-montjoly,4.9167,-52.2667,28.02,74,0,4.12,GF,1708123507
89,kurumkan,54.3,110.3,-23.26,86,24,3.13,RU,1708123507
90,utrik,11.2278,169.8474,25.95,82,98,10.84,MH,1708123507
91,wailua homesteads,22.0669,-159.378,23.24,64,40,8.75,US,1708123507
92,loango,-4.6719,11.8312,28.81,84,75,5.14,CG,1708123508
93,mount pearl,47.5166,-52.7813,-1.42,95,75,4.12,CA,1708123232
94,masterton,-40.9597,175.6575,21.72,57,99,3.09,NZ,1708123508
95,turan,16.0678,108.2208,21.99,94,75,1.54,VN,1708123508
96,bada,51.392,109.8717,-22.26,92,100,3.28,RU,1708123508
97,merizo village,13.2658,144.6691,27.43,88,37,5.43,GU,1708123509
98,hermanus,-34.4187,19.2345,17.05,64,39,1.12,ZA,1708123509
99,fortuna,40.5982,-124.1573,17.03,65,0,6.17,US,1708123509
100,mount gambier,-37.8333,140.7667,19.07,60,64,2.93,AU,1708123509
101,anadyr,64.75,177.4833,-19.72,84,40,2.0,RU,1708123510
102,la junta,37.985,-103.5438,0.16,80,100,5.14,US,1708123510
103,college,64.8569,-147.8028,-6.82,67,0,0.0,US,1708123510
104,manta,-0.95,-80.7333,26.88,83,75,6.71,EC,1708123305
105,dunedin,-45.8742,170.5036,17.76,62,79,2.28,NZ,1708123510
106,copala,16.65,-98.9833,28.93,57,4,3.7,MX,1708123510
107,isafjordur,66.0755,-23.124,-2.16,66,100,2.34,IS,1708123511
108,tiksi,71.6872,128.8694,-35.99,100,100,0.88,RU,1708123511
109,nebraska city,40.6767,-95.8592,-1.76,64,40,7.72,US,1708123275
110,bandarbeyla,9.4942,50.8122,24.89,72,5,4.42,SO,1708123511
111,talnakh,69.4865,88.3972,-33.84,87,27,1.52,RU,1708123511
112,kodiak,57.79,-152.4072,3.73,87,100,10.8,US,1708123512
113,vila velha,-20.3297,-40.2925,25.97,90,40,1.54,BR,1708123512
114,molina,-35.1167,-71.2833,30.85,37,0,4.63,CL,1708123512
115,fort st. john,56.2499,-120.8529,0.94,29,75,1.54,CA,1708123322
116,brookings,44.3114,-96.7984,-12.16,75,0,8.75,US,1708123262
117,nasugbu,14.1,120.6833,22.82,86,51,4.43,PH,1708123512
118,baie-saint-paul,47.4411,-70.4986,-3.01,82,100,2.57,CA,1708123395
119,nova sintra,14.8667,-24.7167,20.94,78,3,10.41,CV,1708123513
120,ust-nera,64.5667,143.2,-43.11,99,66,0.52,RU,1708123513
121,puerto armuelles,8.2833,-82.8667,31.99,62,70,0.45,PA,1708123513
122,hovd,48.0056,91.6419,-16.95,54,8,6.15,MN,1708123513
123,szydlowiec,51.2282,20.8611,5.85,80,61,3.42,PL,1708123514
124,sandnessjoen,66.0217,12.6316,1.06,86,75,5.14,NO,1708123514
125,togur,58.3631,82.8265,-21.59,98,100,2.24,RU,1708123514
126,hobyo,5.3505,48.5268,26.13,73,4,6.89,SO,1708123514
127,ankazoabo,-22.2833,44.5167,22.3,91,46,1.67,MG,1708123514
128,vilyuchinsk,52.9306,158.4028,-12.85,71,100,4.55,RU,1708123514
129,hutchinson island south,27.2995,-80.2205,24.49,73,75,5.14,US,1708123515
130,bodo,67.28,14.405,-1.14,91,75,1.03,NO,1708123515
131,gamba,-2.65,10.0,26.61,85,100,1.66,GA,1708123515
132,vadso,70.0744,29.7487,-3.91,93,75,7.2,NO,1708123515
133,ryotsu-minato,38.0833,138.4333,3.68,64,8,3.61,JP,1708123515
134,banda aceh,5.5577,95.3222,26.08,79,95,5.4,ID,1708123515
135,rongelap,11.1635,166.8941,26.18,82,90,10.78,MH,1708123516
136,happy valley-goose bay,53.3168,-60.3315,-8.83,86,100,3.6,CA,1708123516
137,atherton,53.5237,-2.4935,10.2,95,100,1.27,GB,1708123516
138,selkirk,50.1436,-96.8845,-10.47,78,100,4.15,CA,1708123225
139,manokwari,-0.8667,134.0833,27.28,68,14,3.25,ID,1708123516
140,luderitz,-26.6481,15.1594,16.28,70,0,8.36,NA,1708123517
141,mumias,0.3351,34.4864,20.13,70,71,1.31,KE,1708123517
142,moa,20.6569,-74.9403,25.44,77,52,5.45,CU,1708123517
143,fort bragg,35.139,-79.006,15.75,49,75,0.0,US,1708123517
144,atafu village,-8.5421,-172.5159,28.58,78,100,7.56,TK,1708123517
145,cloverdale,38.8055,-123.0172,16.21,74,100,1.34,US,1708123517
146,arraial do cabo,-22.9661,-42.0278,24.98,88,75,6.17,BR,1708123518
147,tirebolu,41.0069,38.8139,8.89,96,100,2.74,TR,1708123518
148,hadibu,12.65,54.0333,24.07,74,53,3.23,YE,1708123518
149,kingston,17.997,-76.7936,28.53,77,20,8.23,JM,1708123490
150,mamedkala,42.1677,48.1199,2.36,93,100,3.86,RU,1708123518
151,bryne,58.7354,5.6477,4.97,95,75,6.69,NO,1708123481
152,guarapari,-20.6667,-40.4975,24.94,87,31,1.02,BR,1708123519
153,greymouth,-42.4667,171.2,18.12,67,99,2.85,NZ,1708123519
154,huanan,46.2167,130.5167,-8.31,88,100,2.39,CN,1708123519
155,port elizabeth,-33.918,25.5701,19.16,68,0,8.75,ZA,1708123519
156,labrador city,52.9463,-66.9114,-19.05,71,20,1.54,CA,1708123520
157,haiku-pauwela,20.9219,-156.3051,22.36,80,75,6.17,US,1708123520
158,minas de marcona,-15.2119,-75.1103,19.88,81,82,7.09,PE,1708123520
159,chetwayi,10.5333,76.05,25.73,68,41,5.8,IN,1708123520
160,nikolayevsk-on-amure,53.1406,140.73,-21.67,96,58,1.36,RU,1708123521
161,ibotirama,-12.1853,-43.2206,26.63,65,96,1.14,BR,1708123521
162,abepura,-2.6333,140.5833,25.45,94,20,0.51,ID,1708123521
163,iskateley,67.6803,53.1512,-21.66,88,13,4.02,RU,1708123521
164,ilulissat,69.2167,-51.1,-14.99,85,20,4.12,GL,1708123521
165,vuktyl,63.8567,57.3094,-25.5,98,43,2.68,RU,1708123521
166,funafuti,-8.5243,179.1942,28.0,83,100,7.2,TV,1708123522
167,neryungri,56.6709,124.6491,-21.72,99,100,1.69,RU,1708123522
168,manadhoo,5.7667,73.3833,28.26,74,98,4.49,MV,1708123522
169,kailua-kona,19.6406,-155.9956,28.06,72,100,10.8,US,1708123522
170,georgetown,5.4112,100.3354,27.96,81,20,4.12,MY,1708123481
171,coquimbo,-29.9533,-71.3436,19.85,82,75,4.63,CL,1708123522
172,thompson,55.7435,-97.8558,-12.91,78,100,5.14,CA,1708123522
173,lepsy,46.235,78.9456,-22.88,78,15,0.11,KZ,1708123523
174,colonia,50.9333,6.95,11.6,85,75,1.03,DE,1708123475
175,kuraymah,18.55,31.85,14.93,32,0,5.21,SD,1708123523
176,tralee,52.2704,-9.7026,9.9,98,81,2.46,IE,1708123523
177,linxia chengguanzhen,35.6003,103.2064,3.2,26,17,1.19,CN,1708123523
178,lagoa,39.05,-27.9833,16.57,86,100,11.27,PT,1708123524
179,villa gesell,-37.2639,-56.973,22.25,87,0,6.76,AR,1708123524
180,beira,-19.8436,34.8389,26.79,87,0,3.43,MZ,1708123524
181,grand falls-windsor,48.9332,-55.6649,-3.61,84,98,0.45,CA,1708123524
182,phalaborwa,-23.943,31.1411,27.6,38,14,1.25,ZA,1708123524
183,maymana,35.9214,64.7836,11.43,48,100,1.62,AF,1708123525
184,alofi,-19.0595,-169.9187,28.94,65,75,7.2,NU,1708123525
